id;store_name;store_phone;storeidpcode;customer_id;date;grand_total
1;functionalities South Dakota Shoes;86240;override;74324;2019-12-30T20:15:18;71554
2;Buckinghamshire;30144;Colorado artificial intelligence;33748;2019-12-31T00:29:47;46324
3;payment Sudanese Pound Borders;33217;multi-state;56947;2019-12-30T20:37:37;5479
4;withdrawal Pants;52092;Rustic;75546;2019-12-30T12:07:57;52477
5;lavender Ecuador Organized;73570;Exclusive deposit Global;95964;2019-12-30T10:43:35;97220
6;virtual;56023;Licensed Granite Bacon Kansas;97868;2019-12-30T19:42:08;23680
7;Rustic Rubber Fish;71858;alliance Developer;89173;2019-12-30T09:40:57;28415
8;ivory end-to-end executive;46369;process improvement;50926;2019-12-30T12:20:34;74872
9;Arizona;42404;navigating;46416;2019-12-30T17:29:52;84272
10;Music;66927;Money Market Account Personal Loan Account;95068;2019-12-30T12:14:15;16632
