id;product_id;product_name;quantity;price;total
1;21582;Home Loan Account archive Integration;79602;47919;67130
2;71861;standardization;37183;24776;18042
3;71554;Steel;47798;12924;26670
4;75758;Nepal Mission;89074;46648;87613
5;96225;Concrete hard drive;68189;18452;11870
6;46533;payment Fantastic port;7404;22290;71830
7;40619;communities;49808;35392;71879
8;84318;Computers Minnesota Factors;26781;49585;85734
9;60356;De-engineered alarm;54390;85052;33941
10;15336;Berkshire index;86198;38759;96528
